tweet_id,retweet_count,favorite_count
892420643555336193,6981,33728
892177421306343426,5281,29261
891815181378084864,3468,21992
891689557279858688,7202,36834
891327558926688256,7724,35219
891087950875897856,2590,17763
890971913173991426,1649,10342
890729181411237888,15699,56712
890609185150312448,3606,24460
890240255349198849,6084,27880
890006608113172480,6123,26977
889880896479866881,4145,24504
889665388333682689,8314,41924
889638837579907072,3702,23604
889531135344209921,1875,13317
889278841981685760,4428,22023
888917238123831296,3748,25553
888804989199671297,3518,22403
888554962724278272,2868,17272
888078434458587136,2888,19117
887705289381826560,4522,26551
887517139158093824,9821,40622
887473957103951883,14977,60041
887343217045368832,8790,29522
887101392804085760,4975,26920
886983233522544640,6294,30285
886736880519319552,2621,10469
886680336477933568,3724,19678
886366144734445568,2616,18505
886267009285017600,4,105
886258384151887873,5261,24465
886054160059072513,93,0
885984800019947520,5593,28532
885528943205470208,5312,31521
885518971528720385,3100,17962
885311592912609280,15390,0
885167619883638784,3656,19205
884925521741709313,14963,67114
884876753390489601,4649,24328
884562892145688576,3898,21267
884441805382717440,4780,23810
884247878851493888,16852,63089
884162670584377345,2496,17907
883838122936631299,2850,19116
883482846933004288,8233,40097
883360690899218434,3061,19901
883117836046086144,5514,32427
882992080364220416,3232,20933
882762694511734784,4082,24728
882627270321602560,5047,24544
882268110199369728,9595,39089
882045870035918850,4070,25659
881906580714921986,2842,21400
881666595344535552,8924,44439
881633300179243008,8,113
881536004380872706,13360,43339
881268444196462592,4487,20446
880935762899988482,2329,15014
880872448815771648,3193,18679
880465832366813184,5198,24965
880221127280381952,3455,23605
880095782870896641,3639,24271
879862464715927552,2916,19662
879674319642796034,9,282
879492040517615616,2623,20662
879415818425184262,37317,92628
879376492567855104,2637,14827
879130579576475649,5717,0
879050749262655488,3941,19769
879008229531029506,2233,16747
878776093423087618,3422,17098
878604707211726852,5907,26378
878404777348136964,1074,0
878316110768087041,5509,0
878281511006478336,1074,6765
878057613040115712,5717,37065
877736472329191424,15753,69114
877611172832227328,70,0
877556246731214848,3158,19852
876838120628539392,2796,18183
876537666061221889,3963,21011
876484053909872640,1992,16526
876120275196170240,3893,24638
875747767867523072,3573,22055
875144289856114688,4137,19384
875097192612077568,5102,24195
875021211251597312,3958,22507
874680097055178752,3910,24549
874434818259525634,12173,0
874296783580663808,3472,22910
874057562936811520,3370,20071
874012996292530176,8565,30047
873580283840344065,3334,21339
873337748698140672,1326,0
873213775632977920,1326,6309
872967104147763200,4546,24011
872820683541237760,3160,13048
872620804844003328,3059,18288
872486979161796608,7695,36030
872122724285648897,6812,30144
871879754684805121,9214,33007
871762521631449091,2959,17844
871515927908634625,2928,17861
871166179821445120,4880,0
871102520638267392,4662,18505
871032628920680449,3215,20117
870804317367881728,5269,29728
870726314365509632,3,105
870656317836468226,2195,10872
870374049280663552,22686,73798
870308999962521604,3539,19443
870063196459192321,7056,32335
869772420881756160,8666,37926
869702957897576449,5367,24996
869596645499047938,2630,14162
869227993411051520,3191,18098
868880397819494401,12216,57821
868639477480148993,1745,0
868622495443632128,4449,23598
868552278524837888,1745,8948
867900495410671616,3556,21558
867774946302451713,6234,30212
867421006826221569,2110,14319
867072653475098625,101,0
867051520902168576,6762,28651
866720684873056260,4124,17827
866686824827068416,2959,17086
866450705531457537,30097,108616
866334964761202691,12173,46477
866094527597207552,7143,0
865718153858494464,4826,22877
865359393868664832,4275,23555
865006731092295680,6644,24996
864873206498414592,7484,28787
864279568663928832,2573,13048
864197398364647424,7563,26591
863907417377173506,3581,18400
863553081350529029,3619,13647
863471782782697472,2089,0
863432100342583297,4545,21254
863427515083354112,80,1956
863079547188785154,951,7884
863062471531167744,2089,7513
862831371563274240,4450,17194
862722525377298433,3082,15313
862457590147678208,4233,18240
862096992088072192,19929,66131
861383897657036800,9241,32222
861288531465048066,3579,15322
861005113778896900,3323,14967
860981674716409858,1852,0
860924035999428608,676,0
860563773140209665,1852,6714
860524505164394496,4591,21212
860276583193509888,3060,16552
860184849394610176,5109,14985
860177593139703809,26656,0
859924526012018688,3575,17580
859851578198683649,3063,13957
859607811541651456,1361,16806
859196978902773760,26198,80374
859074603037188101,11933,30372
858860390427611136,7064,0
858843525470990336,3020,14098
858471635011153920,4247,19444
858107933456039936,2536,14211
857989990357356544,2262,14471
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3479,17019
856543823941562368,2540,14807
856526610513747968,1651,10805
856288084350160898,15,488
856282028240666624,5568,25191
855862651834028034,21,303
855860136149123072,851,4399
855857698524602368,1854,10843
855851453814013952,16101,41851
855818117272018944,4804,24239
855459453768019968,7291,27043
855245323840757760,5254,0
855138241867124737,36,0
854732716440526848,5336,20650
854482394044301312,6007,26531
854365224396361728,4138,17170
854120357044912130,6582,29178
854010172552949760,2787,14819
853760880890318849,5107,26034
853639147608842240,8856,31503
853299958564483072,3165,14144
852936405516943360,1783,0
852912242202992640,1597,8239
852672615818899456,1908,13623
852553447878664193,3108,14881
852311364735569921,8858,30294
852226086759018497,6078,18321
852189679701164033,1417,10561
851591660324737024,3123,14932
851464819735769094,6298,22228
851224888060895234,5164,19011
850753642995093505,8064,28105
850380195714523136,2327,12062
850333567704068097,301,3188
850145622816686080,3388,15028
850019790995546112,4360,18760
849776966551130114,6804,27875
849668094696017920,4438,0
849412302885593088,2826,14660
849336543269576704,1686,10548
849051919805034497,7606,38959
848690551926992896,3916,23252
848324959059550208,4136,22793
848213670039564288,644,7535
848212111729840128,2712,15017
847978865427394560,2918,0
847971574464610304,394,0
847962785489326080,4568,21712
847842811428974592,1187,5010
847617282490613760,376,6463
847606175596138505,3079,17336
847251039262605312,3911,18947
847157206088847362,5247,18355
847116187444137987,2872,19853
846874817362120707,3545,18599
846514051647705089,10364,41140
846505985330044928,2756,13054
846153765933735936,8157,29067
846139713627017216,9156,28766
846042936437604353,2582,14793
845812042753855489,7848,26990
845677943972139009,4373,23405
845397057150107648,1620,7081
845306882940190720,4849,21589
845098359547420673,6932,0
844979544864018432,2308,12660
844973813909606400,2846,13915
844580511645339650,2810,15276
844223788422217728,1987,12686
843981021012017153,2699,14095
843856843873095681,4166,19945
843604394117681152,2477,15683
843235543001513987,5396,19948
842846295480000512,3313,14201
842765311967449089,1176,6290
842535590457499648,3173,16899
842163532590374912,5254,22706
841439858740625411,3316,11718
841320156043304961,5014,18400
